Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"28 Feb 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;133.00;136.00;131.60;134.50;"27/02/2025 16:29";CET;189474;'25416309.60;134.50;27/02/2025
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;4.775;5.04;4.75;4.90;"27/02/2025 17:38";CET;105914;'518088.11;4.90;27/02/2025
"3D SYSTEMS CORP";US88554D2053;4DDD;EuroTLX;EUR;3.06;3.06;3.06;3.06;"10/01/2025 15:41";CET;1320;4039.20;3.421;27/02/2025
"3D SYSTEMS CORP";US88554D2053;1DDD;"Euronext Global Equity Market";EUR;3.401;3.401;3.401;3.401;"27/02/2025 16:06";CET;150;510.15;3.43;27/02/2025
"3D SYSTEMS CORP";US88554D2053;2DDD;"Trading After Hours";EUR;4.403;4.403;4.403;4.403;"18/02/2025 19:07";CET;15;66.05;3.43;27/02/2025
3M;US88579Y1010;4MMM;EuroTLX;EUR;142.76;142.76;142.76;142.76;"21/02/2025 16:48";CET;2;285.52;145.70;27/02/2025
3M;US88579Y1010;1MMM;"Euronext Global Equity Market";EUR;141.90;145.62;141.90;145.54;"27/02/2025 17:25";CET;134;19474.92;145.74;27/02/2025
3M;US88579Y1010;2MMM;"Trading After Hours";EUR;139.92;139.92;139.92;139.92;"25/02/2025 18:00";CET;13;1818.96;145.74;27/02/2025
"4AIM SICAF";IT0005204729;AIM;"Euronext Growth Milan";EUR;80.40;80.40;79.00;80.00;"27/02/2025 16:43";CET;52;4127.36;80.00;27/02/2025
"4AIM SICAF COMP 2";IT0005440323;AIM2;"Euronext Growth Milan";EUR;173.00;173.00;172.02;172.02;"25/02/2025 09:33";CET;54;9293.00;172.02;27/02/2025
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.10;1.10;1.05;1.05;"27/02/2025 15:36";CET;71625;76214.88;1.05;27/02/2025
74SOFTWARE;FR0011040500;74SW;"Euronext Paris";EUR;28.50;29.20;27.80;28.60;"27/02/2025 17:35";CET;4735;'135870.10;28.60;27/02/2025
"A.B.P. NOCIVELLI";IT0005439861;ABP;"Euronext Growth Milan";EUR;4.94;4.94;4.94;4.94;"27/02/2025 16:30";CET;500;2470.00;4.94;27/02/2025
A2A;IT0001233417;A2A;"Euronext Milan";EUR;2.143;2.199;2.14;2.19;"27/02/2025 17:35";CET;'16081893;'35076947.04;2.19;27/02/2025
A2A;IT0001233417;2A2A;"Trading After Hours";EUR;2.185;2.19;2.181;2.185;"27/02/2025 20:15";CET;4620;10107.84;2.188;27/02/2025
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;35.24;36.36;32.70;33.22;"27/02/2025 17:35";CET;622840;'20937166.16;33.22;27/02/2025
"AALBERTS NV";NL0000852564;2AALB;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;126.00;126.00;125.04;125.04;"27/02/2025 09:08";CET;56;7054.08;125.04;27/02/2025
AATECH;IT0005548521;AAT;"Euronext Growth Milan";EUR;'0.75;'0.78;'0.745;'0.76;"27/02/2025 17:29";CET;12000;9037.50;'0.76;27/02/2025
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;55.54;57.76;55.54;57.76;"27/02/2025 17:39";CET;3057035;'174758319.93;57.76;27/02/2025
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;1.37;1.416;1.32;1.416;"27/02/2025 17:35";CET;59358;81191.72;1.416;27/02/2025
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;45.00;45.00;45.00;45.00;"22/10/2024 11:30";CET;30;1350.00;45.00;27/02/2025
ABBVIE;US00287Y1091;1ABBV;"Euronext Global Equity Market";EUR;194.00;194.54;193.16;194.08;"26/02/2025 16:10";CET;53;10284.58;197.10;27/02/2025
ABBVIE;US00287Y1091;4ABBV;EuroTLX;EUR;195.72;195.72;195.72;195.72;"24/02/2025 15:30";CET;5;978.60;197.06;27/02/2025
